Topik_ID,Nama_Topik,Rank,Kata,Skor_cTFIDF
0,0_partai_koalisi_anies_ketua umum,1,partai,0.007898
0,0_partai_koalisi_anies_ketua umum,2,koalisi,0.00671
0,0_partai_koalisi_anies_ketua umum,3,anies,0.00473
0,0_partai_koalisi_anies_ketua umum,4,ketua umum,0.004304
0,0_partai_koalisi_anies_ketua umum,5,pks,0.004194
0,0_partai_koalisi_anies_ketua umum,6,ketua,0.004137
0,0_partai_koalisi_anies_ketua umum,7,demokrat,0.004114
0,0_partai_koalisi_anies_ketua umum,8,capres,0.004073
0,0_partai_koalisi_anies_ketua umum,9,pilpres,0.004054
0,0_partai_koalisi_anies_ketua umum,10,nasdem,0.004051
1,1_kpk_korupsi_jaksa_tersangka,1,kpk,0.011572
1,1_kpk_korupsi_jaksa_tersangka,2,korupsi,0.010216
1,1_kpk_korupsi_jaksa_tersangka,3,jaksa,0.006133
1,1_kpk_korupsi_jaksa_tersangka,4,tersangka,0.005842
1,1_kpk_korupsi_jaksa_tersangka,5,hakim,0.005781
1,1_kpk_korupsi_jaksa_tersangka,6,pengadilan,0.005644
1,1_kpk_korupsi_jaksa_tersangka,7,pt,0.005616
1,1_kpk_korupsi_jaksa_tersangka,8,kasus,0.005514
1,1_kpk_korupsi_jaksa_tersangka,9,perkara,0.005322
1,1_kpk_korupsi_jaksa_tersangka,10,pidana,0.005128
2,2_virus_virus corona_corona_meningg,1,virus,0.108346
2,2_virus_virus corona_corona_meningg,2,virus corona,0.097934
2,2_virus_virus corona_corona_meningg,3,corona,0.081188
2,2_virus_virus corona_corona_meningg,4,meninggal,0.028291
2,2_virus_virus corona_corona_meningg,5,positif,0.025638
2,2_virus_virus corona_corona_meningg,6,corona indonesia,0.024451
2,2_virus_virus corona_corona_meningg,7,positif corona,0.021747
2,2_virus_virus corona_corona_meningg,8,pasien,0.020144
2,2_virus_virus corona_corona_meningg,9,corona meninggal,0.019558
2,2_virus_virus corona_corona_meningg,10,pdp,0.018495
3,3_banjir_hujan_bmkg_air,1,banjir,0.032279
3,3_banjir_hujan_bmkg_air,2,hujan,0.019035
3,3_banjir_hujan_bmkg_air,3,bmkg,0.014146
3,3_banjir_hujan_bmkg_air,4,air,0.013798
3,3_banjir_hujan_bmkg_air,5,cuaca,0.010366
3,3_banjir_hujan_bmkg_air,6,angin,0.010054
3,3_banjir_hujan_bmkg_air,7,wilayah,0.008951
3,3_banjir_hujan_bmkg_air,8,gelombang,0.006744
3,3_banjir_hujan_bmkg_air,9,bpbd,0.006681
3,3_banjir_hujan_bmkg_air,10,berawan,0.006599
4,4_whatsapp_akun whatsapp_akun_menga,1,whatsapp,0.027588
4,4_whatsapp_akun whatsapp_akun_menga,2,akun whatsapp,0.020931
4,4_whatsapp_akun whatsapp_akun_menga,3,akun,0.019344
4,4_whatsapp_akun whatsapp_akun_menga,4,mengatasnamakan,0.018353
4,4_whatsapp_akun whatsapp_akun_menga,5,pesan,0.01692
4,4_whatsapp_akun whatsapp_akun_menga,6,counter penjelasan,0.015209
4,4_whatsapp_akun whatsapp_akun_menga,7,penipuan,0.01353
4,4_whatsapp_akun whatsapp_akun_menga,8,hoaks,0.01318
4,4_whatsapp_akun whatsapp_akun_menga,9,beredar,0.012292
4,4_whatsapp_akun whatsapp_akun_menga,10,hoaks link,0.011846
5,5_pesawat_bandara_penerbangan_jet,1,pesawat,0.030794
5,5_pesawat_bandara_penerbangan_jet,2,bandara,0.02763
5,5_pesawat_bandara_penerbangan_jet,3,penerbangan,0.01899
5,5_pesawat_bandara_penerbangan_jet,4,jet,0.012543
5,5_pesawat_bandara_penerbangan_jet,5,maskapai,0.009408
5,5_pesawat_bandara_penerbangan_jet,6,udara,0.009029
5,5_pesawat_bandara_penerbangan_jet,7,penumpang,0.008325
5,5_pesawat_bandara_penerbangan_jet,8,jet pribadi,0.00695
5,5_pesawat_bandara_penerbangan_jet,9,balon,0.00661
5,5_pesawat_bandara_penerbangan_jet,10,pilot,0.006174
6,6_pandemi_pandemi corona_tengah pan,1,pandemi,0.223175
6,6_pandemi_pandemi corona_tengah pan,2,pandemi corona,0.169655
6,6_pandemi_pandemi corona_tengah pan,3,tengah pandemi,0.087109
6,6_pandemi_pandemi corona_tengah pan,4,corona,0.057577
6,6_pandemi_pandemi corona_tengah pan,5,corona pandemi,0.024888
6,6_pandemi_pandemi corona_tengah pan,6,tengah,0.022909
6,6_pandemi_pandemi corona_tengah pan,7,selama pandemi,0.021675
6,6_pandemi_pandemi corona_tengah pan,8,pandemi covid,0.019772
6,6_pandemi_pandemi corona_tengah pan,9,masa pandemi,0.018917
6,6_pandemi_pandemi corona_tengah pan,10,pandemi virus,0.014018
7,7_jiwasraya_jangan_nikita mirzani_b,1,jiwasraya,0.016108
7,7_jiwasraya_jangan_nikita mirzani_b,2,jangan,0.011718
7,7_jiwasraya_jangan_nikita mirzani_b,3,nikita mirzani,0.011099
7,7_jiwasraya_jangan_nikita mirzani_b,4,bikin,0.010957
7,7_jiwasraya_jangan_nikita mirzani_b,5,mirzani,0.010913
7,7_jiwasraya_jangan_nikita mirzani_b,6,nikita,0.009659
7,7_jiwasraya_jangan_nikita mirzani_b,7,erick thohir,0.008674
7,7_jiwasraya_jangan_nikita mirzani_b,8,erick,0.008579
7,7_jiwasraya_jangan_nikita mirzani_b,9,thohir,0.008576
7,7_jiwasraya_jangan_nikita mirzani_b,10,kamu,0.008221
8,8_polisi_polisi tangkap_polisi poli,1,polisi,0.109812
8,8_polisi_polisi tangkap_polisi poli,2,polisi tangkap,0.02994
8,8_polisi_polisi tangkap_polisi poli,3,polisi polisi,0.027985
8,8_polisi_polisi tangkap_polisi poli,4,tangkap,0.02207
8,8_polisi_polisi tangkap_polisi poli,5,ditangkap polisi,0.021767
8,8_polisi_polisi tangkap_polisi poli,6,ditangkap,0.01975
8,8_polisi_polisi tangkap_polisi poli,7,ditembak,0.017759
8,8_polisi_polisi tangkap_polisi poli,8,polisi tembak,0.014425
8,8_polisi_polisi tangkap_polisi poli,9,ditembak polisi,0.014304
8,8_polisi_polisi tangkap_polisi poli,10,pria,0.011916
9,9_breaking_timor_hari ini_ini,1,breaking,0.010368
9,9_breaking_timor_hari ini_ini,2,timor,0.009287
9,9_breaking_timor_hari ini_ini,3,hari ini,0.008557
9,9_breaking_timor_hari ini_ini,4,ini,0.008113
9,9_breaking_timor_hari ini_ini,5,indonesia,0.007948
9,9_breaking_timor_hari ini_ini,6,geger,0.007388
9,9_breaking_timor_hari ini_ini,7,jkw,0.006214
9,9_breaking_timor_hari ini_ini,8,anies,0.006063
9,9_breaking_timor_hari ini_ini,9,bahasa,0.005793
9,9_breaking_timor_hari ini_ini,10,tak,0.005611
10,10_masjid_islam_salat_muslim,1,masjid,0.036952
10,10_masjid_islam_salat_muslim,2,islam,0.020782
10,10_masjid_islam_salat_muslim,3,salat,0.020713
10,10_masjid_islam_salat_muslim,4,muslim,0.015051
10,10_masjid_islam_salat_muslim,5,salat id,0.011076
10,10_masjid_islam_salat_muslim,6,al,0.008858
10,10_masjid_islam_salat_muslim,7,istiqlal,0.008652
10,10_masjid_islam_salat_muslim,8,tarawih,0.007346
10,10_masjid_islam_salat_muslim,9,jemaah,0.007272
10,10_masjid_islam_salat_muslim,10,masjid al,0.007023
11,11_pasien_positif corona_corona_pos,1,pasien,0.123689
11,11_pasien_positif corona_corona_pos,2,positif corona,0.099778
11,11_pasien_positif corona_corona_pos,3,corona,0.089751
11,11_pasien_positif corona_corona_pos,4,positif,0.073944
11,11_pasien_positif corona_corona_pos,5,pasien corona,0.065582
11,11_pasien_positif corona_corona_pos,6,sembuh,0.064583
11,11_pasien_positif corona_corona_pos,7,pasien positif,0.05475
11,11_pasien_positif corona_corona_pos,8,kasus positif,0.041627
11,11_pasien_positif corona_corona_pos,9,bertambah,0.037867
11,11_pasien_positif corona_corona_pos,10,pasien sembuh,0.03136
12,12_nikah_pernikahan_istri_suami,1,nikah,0.046737
12,12_nikah_pernikahan_istri_suami,2,pernikahan,0.044764
12,12_nikah_pernikahan_istri_suami,3,istri,0.037596
12,12_nikah_pernikahan_istri_suami,4,suami,0.033782
12,12_nikah_pernikahan_istri_suami,5,menikah,0.028715
12,12_nikah_pernikahan_istri_suami,6,zaskia gotik,0.02229
12,12_nikah_pernikahan_istri_suami,7,gotik,0.022054
12,12_nikah_pernikahan_istri_suami,8,married,0.020759
